SubjectID,start,end
ACJ0296,25815,48863
ASB9606,21997,45044
BJY2724,147928,170970
CCM8304,43657,66700
CHI6162,3321,26363
CIS2572,8800,31843
CMJ1704,792,23835
CS9686,18217,41260
HDB4124,24217,47264
HHS4095,3982,27028
HJI2422,3618,26662
HJM9735,23393,46441
IES1177,13412,36455
JDH4576,12844,35887
JHH3416,38812,61854
JHH9881,29157,52204
JHJ5772,2318,25365
JJS6341,118178,141222
JMS7550,8390,31434
JSI5651,31668,54711
JSJ1968,5090,28133
JSJ7286,531,23574
JUY4470,6799,29848
JYJ9366,120950,144002
KHJ5053,11568,34611
KHJ7399,10372,33420
KHR3780,173856,196899
KHY2595,4661,27709
KJW1626,24014,47058
KMH9297,39122,62170
KMJ0971,20376,43420
KYE6331,8089,31136
KYR4085,18459,41507
KYS3629,0,0
LGW6602,14268,37321
LHS9077,23709,46757
LJH7304,37039,60086
LJJ5719,8064,31111
LJW2347,14999,38047
LMH4770,23128,46176
LSH0678,26124,49167
LSH0747,6375,29422
LSH4589,17914,40962
LSJ1269,25140,48187
LYR2479,163703,186745
LYS7147,21349,44397
ODB7507,23521,46564
OJM9942,9370,32417
PHG3008,11638,34685
PJH3401,28036,51080
PJY5851,12369,35412
PJY7945,26749,49797
PMS8563,17648,40696
PMY8265,42823,65866
PSJ7390,4981,28025
PSY0305,29258,52301
PTL1715,21025,44072
RCY1035,1570,24614
SEY6036,27036,50079
SHE7030,13218,36260
SJW2332,48548,71592
SMC1362,14210,37257
SMG6661,27016,50063
SYJ1963,28051,51094
YHK9654,3513,26557
YHS8420,16668,39711
YJU1842,18609,41656
YSJ0328,12496,35544
ACJ0296,25816,48864
ASB9606,21998,45045
BJY2724,147929,170971
CCM8304,43658,66701
CHI6162,3322,26364
CIS2572,8801,31844
CMJ1704,793,23836
CS9686,18218,41261
HDB4124,24218,47265
HHS4095,3983,27029
HJI2422,3619,26663
HJM9735,23394,46442
IES1177,13413,36456
JDH4576,12845,35888
JHH3416,38813,61855
JHH9881,29158,52205
JHJ5772,2319,25366
JJS6341,118179,141223
JMS7550,8391,31435
JSI5651,31669,54712
JSJ1968,5091,28134
JSJ7286,532,23575
JUY4470,6800,29849
JYJ9366,120951,144003
KHJ5053,11569,34612
KHJ7399,10373,33421
KHR3780,173857,196900
KHY2595,4662,27710
KJW1626,24015,47059
KMH9297,39123,62171
KMJ0971,20377,43421
KYE6331,8090,31137
KYR4085,18460,41508
KYS3629,1,1
LGW6602,14269,37322
LHS9077,23710,46758
LJH7304,37040,60087
LJJ5719,8065,31112
LJW2347,15000,38048
LMH4770,23129,46177
LSH0678,26125,49168
LSH0747,6376,29423
LSH4589,17915,40963
LSJ1269,25141,48188
LYR2479,163704,186746
LYS7147,21350,44398
ODB7507,23522,46565
OJM9942,9371,32418
PHG3008,11639,34686
PJH3401,28037,51081
PJY5851,12370,35413
PJY7945,26750,49798
PMS8563,17649,40697
PMY8265,42824,65867
PSJ7390,4982,28026
PSY0305,29259,52302
PTL1715,21026,44073
RCY1035,1571,24615
SEY6036,27037,50080
SHE7030,13219,36261
SJW2332,48549,71593
SMC1362,14211,37258
SMG6661,27017,50064
SYJ1963,28052,51095
YHK9654,3514,26558
YHS8420,16669,39712
YJU1842,18610,41657
YSJ0328,12497,35545
